fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221108 210849	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	557	1	1	1	0.1	50	0.5	FALSE	66667	0.0437971213417364	0.799367483725218	0.780441156469831	3.88270295751411	0.0251225846237518	15465	45950000	22
20221108 211140	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	691	1	1	1	0.1	50	0.5	FALSE	66667	0.150512859489317	0.797568566866039	0.686857354263846	3.80288761866075	0.0194842639866857	18078	44164000	23
20221108 211350	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	302	1	1	1	0.1	50	0.5	FALSE	66667	0.105175272392788	0.796856190772333	0.753931694576094	5.35609481620248	0.0190863770019201	17929	44462000	24
20221108 211954	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	870	1	1	1	0.1	50	0.5	FALSE	66667	0.0519078440194274	0.565600806358719	0.311966463012395	8.85320135561176	0.00653078447463573	16589	45702000	25
20221108 212344	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1671	1	1	1	0.1	50	0.5	FALSE	66667	0.172657736887057	0.7999876930348	0.774626005763876	1.89800272580451	0.0211730867726963	16133	44614000	26
20221108 212536	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	346	1	1	1	0.1	50	0.5	FALSE	66667	0.15228353474378	0.797150153075967	0.743343468424129	3.76856436133395	0.019874266682906	17975	44930000	27
20221108 213251	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3244	1	1	1	0.1	50	0.5	FALSE	66667	0.117172290736532	0.796143702911678	0.640810477163986	2.21078222757375	0.0220068962423842	16782	44116000	28
20221108 213638	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	907	1	1	1	0.1	50	0.5	FALSE	66667	0.0712177942108155	0.717334930525726	0.782370978436222	4.06672441246091	0.0208996956970359	17283	44634000	29
20221108 214324	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	496	1	1	1	0.1	50	0.5	FALSE	66667	0.0354743489489914	0.586676368190302	0.285215950882132	10.7293601932458	0.00405038585476061	16405	45910000	30
20221108 214914	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	295	1	1	1	0.1	50	0.5	FALSE	66667	0.111553987239212	0.791270930577897	0.696675642377871	9.4170812093274	0.00113280006809818	15446	46308000	31
