fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221029 203832	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	17	1	1	1	0.1	50	0.5	FALSE	102191	0.228539474470599	0.692011754889973	0.947850986065896	8.53707244056568	0.0185425378240414	16513	14814000	1
20221029 204110	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	206	1	1	1	0.1	50	0.5	FALSE	102191	0.0611122289596824	0.415496148355305	0.502314432237472	6.62053770593775	0.0159277521382347	16843	15994000	2
20221029 204347	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	71	1	1	1	0.1	50	0.5	FALSE	102191	0.104029557234462	0.516752480959985	0.636292495069938	9.16811416811834	0.0162540646414359	14070	18340000	3
20221029 204549	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	162	1	1	1	0.1	50	0.5	FALSE	102191	0.168879269044992	0.456461656175088	0.372052632654959	5.57187534648983	0.0166084697576659	16937	15006000	4
20221029 204853	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	264	1	1	1	0.1	50	0.5	FALSE	102191	0.127702982214832	0.596847716570483	0.110912966558681	11.0280645921011	7.44678408070292e-05	14944	15872000	5
20221029 205111	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	415	1	1	1	0.1	50	0.5	FALSE	102191	0.182757149451209	0.225424988757004	0.451753597762581	4.76073961262591	0.0155740219027816	16804	15192000	6
20221029 205402	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	235	1	1	1	0.1	50	0.5	FALSE	102191	0.0820540441415505	0.486269956655451	0.653119019904261	5.97853617666988	0.0233286361352625	13174	19732000	7
20221029 205512	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	575	1	1	1	0.1	50	0.5	FALSE	102191	0.256270713098056	0.641868358908687	0.265810306489584	1.53360655311553	0.0157126807626231	18441	9358000	8
20221029 205718	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	169	1	1	1	0.1	50	0.5	FALSE	102191	0.22237914936326	0.669848044787068	0.542321152266231	9.78130545660679	2.24272429236011e-06	15938	14284000	9
20221029 210117	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	690	1	1	1	0.1	50	0.5	FALSE	102191	0.198947699051932	0.366171489839326	0.936290812079096	2.77544187808235	0.0216731571504704	14754	16412000	10
20221029 210507	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	403	1	1	1	0.1	50	0.5	FALSE	102191	0.0216230432309385	0.765784763393458	0.831708944928687	7.78184631939803	0.0129232954087295	16779	15722000	11
20221029 211145	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1065	1	1	1	0.1	50	0.5	FALSE	102191	0.0432109487873095	0.251991958761937	0.206283496163087	10.3683170451695	4.36010063552733e-05	15943	16674000	12
20221029 211700	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1169	1	1	1	0.1	50	0.5	FALSE	102191	0.282580342353758	0.327101333605242	0.311722812318476	1.86971800707397	0.0172876538979836	19124	9512000	13
20221029 211803	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	195	1	1	1	0.1	50	0.5	FALSE	102191	0.265424388268875	0.734868825797457	0.736871927484026	3.54890927727683	0.0224706065548794	16048	15424000	14
20221029 212135	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	336	1	1	1	0.1	50	0.5	FALSE	102191	0.147540659687947	0.287135787951411	0.792814476821513	11.3932041771768	2.10872227901734e-06	13676	17768000	15
20221029 212936	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1495	1	1	1	0.1	50	0.5	FALSE	102191	0.0907934987643966	0.54485921918531	0.0815190987952519	4.01377250080986	0.0215370895862702	17190	13780000	16
20221029 213207	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	296	1	1	1	0.1	50	0.5	FALSE	102191	0.102454323256753	0.33809155515196	0.701062780009122	4.6607178317011	0.0183373534347367	16175	16930000	17
20221029 213403	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	193	1	1	1	0.1	50	0.5	FALSE	102191	0.0691721650244743	0.673395512348334	0.649579018914326	7.34340334194609	0.0148400014525713	14085	18150000	18
20221029 213958	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	833	1	1	1	0.1	50	0.5	FALSE	102191	0.0834410346867867	0.30084818189524	0.640036455226298	9.72180060242359	9.6667826327573e-07	15110	17060000	19
20221029 214136	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	47	1	1	1	0.1	50	0.5	FALSE	102191	0.215443561839854	0.470999295362635	0.64689568176556	6.38356834428086	0.0178762796988341	16652	15656000	20
20221029 214343	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	110	1	1	1	0.1	50	0.5	FALSE	102191	0.103742071326273	0.548613341389159	0.646531752054215	6.27093402335465	0.0188356498863558	15437	17606000	21
20221029 215055	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	651	1	1	1	0.1	50	0.5	FALSE	102191	0.076737208866749	0.493119595428684	0.692725556618265	10.9868197067189	7.30919569807967e-07	16047	15666000	22
20221029 215423	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	367	1	1	1	0.1	50	0.5	FALSE	102191	0.0759124817717203	0.526142188970975	0.657246761055316	4.74678329827052	0.0232455624718365	14110	19060000	23
20221029 220022	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1281	1	1	1	0.1	50	0.5	FALSE	102191	0.0698922747182127	0.281323501068119	0.653317925241544	3.62419169114709	0.0180672262535733	17322	14236000	24
20221029 220207	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	247	1	1	1	0.1	50	0.5	FALSE	102191	0.0730531842923172	0.616060696702656	0.670953854499551	5.53705821578264	0.0235012475180696	13451	18858000	25
20221029 220500	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	227	1	1	1	0.1	50	0.5	FALSE	102191	0.0825942053145962	0.552846385743096	0.612952395718972	5.73653208121724	0.0207714645647615	14223	18274000	26
20221029 220755	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	258	1	1	1	0.1	50	0.5	FALSE	102191	0.0770665025275831	0.486336072342091	0.706956244475081	6.12425149647235	0.0160698712842237	15142	17716000	27
20221029 221045	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	745	1	1	1	0.1	50	0.5	FALSE	102191	0.063141173001216	0.667433484887384	0.565895759047416	5.04677484076039	0.0165601172866658	15854	16452000	28
20221029 221215	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	274	1	1	1	0.1	50	0.5	FALSE	102191	0.0963332112758962	0.690551595558011	0.383751639768566	5.95915667192312	0.0188917225460796	14489	17502000	29
20221029 221456	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	229	1	1	1	0.1	50	0.5	FALSE	102191	0.0813115446995662	0.489788876616385	0.652710964222734	5.22887891732894	0.0190180042174298	15859	17082000	30
20221029 221704	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	343	1	1	1	0.1	50	0.5	FALSE	102191	0.0522658980574819	0.739096738640012	0.659028468953328	5.89386402144589	0.0146773710969916	17016	15328000	31
20221029 221912	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	176	1	1	1	0.1	50	0.5	FALSE	102191	0.0917513128543974	0.379325093812576	0.74108162013566	5.95485175476284	0.0213157156807588	14373	18614000	32
20221029 222450	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	929	1	1	1	0.1	50	0.5	FALSE	102191	0.086801789738989	0.490914427649473	0.0927070223991988	5.96275936882461	0.0226241375133443	14426	18268000	33
20221029 222826	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	384	1	1	1	0.1	50	0.5	FALSE	102191	0.0819917520841118	0.449063309365649	0.993531798724435	5.95080914891033	0.0122148467199919	15932	15656000	34
20221029 222931	1223	273107	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	45	1	1	1	0.1	50	0.5	FALSE	102191	0.247546140337707	0.250623602335667	0.311292837603425	6.66004738632683	0.0284471445587472	14672	17696000	35
