fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221029 144441	1223	368034	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	65	1	1	1	0.1	50	0.5	FALSE	102191	0.103596525878092	0.605057047025184	0.588108907629794	8.48219518797123	0.0144963387071782	17013	15734000	1
20221029 144626	1223	368034	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	301	1	1	1	0.1	50	0.5	FALSE	102191	0.122309820563823	0.473887732333969	0.834606905402325	4.38754963946121	0.020606923257298	15377	17806000	2
20221029 144829	1223	368034	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	718	1	1	1	0.1	50	0.5	FALSE	102191	0.198775588721182	0.294244796823477	0.569380465396534	2.46228688629344	0.02138710316001	16861	13958000	3
20221029 144943	1223	368034	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	56	1	1	1	0.1	50	0.5	FALSE	102191	0.144108767517173	0.555423437390709	0.227276834799704	9.69320442229218	0.0130198343864879	14553	16654000	4
20221029 145055	1223	368034	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	142	1	1	1	0.1	50	0.5	FALSE	102191	0.0908412247299566	0.391184747123043	0.465317368068645	6.85906245002116	0.0183956709147883	14998	17684000	5
20221029 145147	1223	368034	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	33	1	1	1	0.1	50	0.5	FALSE	102191	0.15959084198912	0.73654128323833	0.967126321377145	7.60983610832773	0.0207314800497723	14236	17688000	6
20221029 145350	1223	368034	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	382	1	1	1	0.1	50	0.5	FALSE	102191	0.210134147313365	0.313715444307309	0.369807243057585	10.8262499819102	3.32306488926291e-07	15301	15158000	7
20221029 145505	1223	368034	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	146	1	1	1	0.1	50	0.5	FALSE	102191	0.176823629715655	0.443472120421939	0.774627070039423	5.34592296853953	0.0215568952951296	13578	19164000	8
20221029 145539	1223	368034	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	206	1	1	1	0.1	50	0.5	FALSE	102191	0.261109299795789	0.655681239886326	0.278852426980302	4.73628246034787	0.022463194139185	14234	17932000	9
20221029 145632	1223	368034	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	176	1	1	1	0.1	50	0.5	FALSE	102191	0.242809863446455	0.21327726978634	0.31591600329557	6.26876983804686	0.013811170660563	17158	14804000	10
20221029 145951	1223	368034	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1209	1	1	1	0.1	50	0.5	FALSE	102191	0.295062171415339	0.369935289476416	0.694588820111676	2.01749334935448	0.0272316327958437	15292	14456000	11
20221029 150109	1223	368034	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	93	1	1	1	0.1	50	0.5	FALSE	102191	0.0639490602948354	0.707012055569794	0.51993467640641	8.67723376817594	0.0202265377318467	13692	18456000	12
20221029 150359	1223	368034	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2949	1	1	1	0.1	50	0.5	FALSE	102191	0.0371774036608986	0.779525164735969	0.0798407493413833	1.08917031848978	0.0215759659473831	18563	8794000	13
20221029 150636	1223	368034	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	466	1	1	1	0.1	50	0.5	FALSE	102191	0.073539217493817	0.266920858374215	0.119229914209427	10.4093479981966	0.00321517610623098	12667	19306000	14
20221029 151052	1223	368034	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1160	1	1	1	0.1	50	0.5	FALSE	102191	0.0271244733492495	0.51375859209802	0.894829335577379	3.17991095469915	0.0247015295990452	14968	17824000	15
