fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221030 004115	1223	483418	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	240	1	1	1	0.1	50	0.5	FALSE	102191	0.219658114095218	0.620026622791193	0.327474392424483	10.1954031660134	4.24973316225088e-06	15641	14238000	1
20221030 005016	1223	483418	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	435	1	1	1	0.1	50	0.5	FALSE	102191	0.188220695861964	0.581098203919828	0.802657969654683	8.58930595604761	3.12978406902478e-06	16943	14434000	2
20221030 005216	1223	483418	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	625	1	1	1	0.1	50	0.5	FALSE	102191	0.228589422776422	0.724068868206814	0.156298399056686	3.72749058094632	0.026918246678629	14000	16240000	3
20221030 010105	1223	483418	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1398	1	1	1	0.1	50	0.5	FALSE	102191	0.111122988361749	0.211944158558617	0.560247841783712	2.48870538824121	0.0210258712672956	16387	14586000	4
20221030 010654	1223	483418	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	109	1	1	1	0.1	50	0.5	FALSE	102191	0.0518662921647774	0.5377396510361	0.633813241658208	9.89526035194285	0.0171835915690893	14866	18188000	5
20221030 012227	1223	483418	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1768	1	1	1	0.1	50	0.5	FALSE	102191	0.0724168173728685	0.504181603109464	0.0643694548933127	3.96091966540553	0.0232542115845037	15646	15108000	6
20221030 012538	1223	483418	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	89	1	1	1	0.1	50	0.5	FALSE	102191	0.155742145115219	0.442708831149503	0.909616700574406	6.16284047752561	0.0164661148562062	17232	15376000	7
20221030 015124	1223	483418	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3161	1	1	1	0.1	50	0.5	FALSE	102191	0.127463075997512	0.494184709558613	0.485701376392535	2.04536096347147	0.0167437823965185	18829	9702000	8
20221030 020053	1223	483418	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1006	1	1	1	0.1	50	0.5	FALSE	102191	0.0444705572833482	0.344189613111666	0.352747433620243	5.41716332673968	0.0214807148937642	15412	17656000	9
20221030 020249	1223	483418	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	180	1	1	1	0.1	50	0.5	FALSE	102191	0.201161559134634	0.747983562012087	0.750548692731536	4.59685063661891	0.0237672550145203	15709	17222000	10
