fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221029 153451	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	545	1	1	1	0.1	50	0.5	FALSE	102191	0.0562383228006727	0.290408261811432	0.38917101045234	11.9999821655405	1.34834561414591e-05	13543	20194000	22
20221029 153959	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	881	1	1	1	0.1	50	0.5	FALSE	102191	0.0330196576232555	0.296331408717377	0.432094602164893	10.9911791016454	2.08041924144834e-05	14027	18346000	23
20221029 154120	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	193	1	1	1	0.1	50	0.5	FALSE	102191	0.218033536746325	0.278826420980089	0.10350302208674	11.9997517169599	3.76517991109916e-06	13992	17536000	24
20221029 154429	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	447	1	1	1	0.1	50	0.5	FALSE	102191	0.0520648849249621	0.24545311512722	0.321514074106702	11.999295630493	0.000109659943356529	12273	19854000	25
20221029 155435	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	474	1	1	1	0.1	50	0.5	FALSE	102191	0.0102394934725341	0.668889581162097	0.370628719421997	11.9997797625073	0.008426593231819	13450	17660000	26
20221029 155627	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	211	1	1	1	0.1	50	0.5	FALSE	102191	0.0412102591238491	0.341816801726862	0.0544431756141558	11.99881255943	0.00980710119791991	16241	16158000	27
20221029 155814	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	330	1	1	1	0.1	50	0.5	FALSE	102191	0.147332813186036	0.205243785611223	0.413415212423027	11.9240299636168	3.96632576721083e-06	15421	17798000	28
20221029 160231	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	488	1	1	1	0.1	50	0.5	FALSE	102191	0.0461318204117214	0.295671688525451	0.582725995177406	11.9995694257936	4.75287053317787e-05	14080	18560000	29
20221029 160927	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1083	1	1	1	0.1	50	0.5	FALSE	102191	0.0261067069607254	0.325499090944491	0.3636821088765	11.9995313910857	1.11474262134129e-05	13986	19628000	30
20221029 161258	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	670	1	1	1	0.1	50	0.5	FALSE	102191	0.0520979930946292	0.200319210662422	0.393756962768357	11.6994708237024	1.8192494395615e-05	14546	18588000	31
